각세별	기대여명_여	사망확률_여	생존자_여	정지인구_여	기대여명_남	사망확률_남	생존자_남	정지인구_남
0	84.07	0.00273	100000	99770	77.2	0.00369	100000	99683
1	83.3	0.0003	99727	99712	76.48	0.00032	99631	99614
2	82.32	0.00022	99697	99686	75.51	0.00025	99598	99586
3	81.34	0.00015	99675	99667	74.53	0.00018	99574	99565
4	80.35	0.00011	99660	99655	73.54	0.00015	99556	99548
5	79.36	0.00009	99649	99645	72.55	0.00013	99541	99534
6	78.37	0.00008	99640	99636	71.56	0.00013	99527	99521
7	77.37	0.00008	99632	99628	70.57	0.00013	99514	99508
8	76.38	0.00008	99624	99620	69.58	0.00013	99501	99495
9	75.38	0.00008	99616	99612	68.59	0.00012	99488	99482
10	74.39	0.00008	99608	99604	67.6	0.00012	99476	99470
11	73.4	0.00009	99600	99595	66.61	0.00012	99465	99459
12	72.4	0.0001	99591	99586	65.61	0.00013	99453	99446
13	71.41	0.00012	99581	99575	64.62	0.00016	99440	99432
14	70.42	0.00014	99569	99562	63.63	0.0002	99424	99414
15	69.43	0.00015	99555	99548	62.64	0.00026	99404	99391
16	68.44	0.00016	99541	99532	61.66	0.00033	99378	99362
17	67.45	0.00019	99524	99515	60.68	0.0004	99345	99326
18	66.46	0.00023	99505	99494	59.7	0.00044	99306	99284
19	65.48	0.00026	99483	99470	58.73	0.00047	99262	99239
20	64.49	0.00029	99457	99443	57.76	0.0005	99216	99191
21	63.51	0.00031	99428	99413	56.79	0.00053	99167	99140
22	62.53	0.00034	99397	99381	55.82	0.00057	99114	99086
23	61.55	0.00037	99364	99346	54.85	0.00061	99057	99027
24	60.58	0.00041	99327	99307	53.88	0.00065	98997	98965
25	59.6	0.00043	99287	99265	52.92	0.00069	98933	98899
26	58.63	0.00045	99244	99222	51.95	0.00073	98865	98829
27	57.65	0.00047	99200	99176	50.99	0.00076	98793	98755
28	56.68	0.00049	99153	99129	50.03	0.00078	98718	98679
29	55.71	0.00052	99104	99079	49.07	0.00081	98641	98601
30	54.74	0.00053	99053	99027	48.11	0.00085	98561	98520
31	53.76	0.00053	99000	98974	47.15	0.00088	98478	98435
32	52.79	0.00053	98948	98922	46.19	0.00091	98391	98347
33	51.82	0.00055	98895	98868	45.23	0.00094	98302	98256
34	50.85	0.00058	98842	98813	44.27	0.001	98209	98160
35	49.88	0.00062	98784	98754	43.31	0.00109	98111	98057
36	48.91	0.00067	98723	98690	42.36	0.00118	98004	97946
37	47.94	0.00071	98657	98622	41.41	0.00126	97888	97826
38	46.97	0.00076	98586	98549	40.46	0.00135	97765	97699
39	46.01	0.0008	98512	98473	39.52	0.0015	97632	97559
40	45.05	0.00083	98434	98393	38.58	0.00171	97485	97402
41	44.08	0.00086	98352	98309	37.64	0.00194	97319	97224
42	43.12	0.00091	98267	98222	36.71	0.00218	97129	97024
43	42.16	0.00097	98177	98130	35.79	0.0024	96918	96802
44	41.2	0.00105	98082	98030	34.88	0.00262	96685	96559
45	40.24	0.00115	97978	97922	33.97	0.00285	96432	96295
46	39.29	0.00124	97866	97805	33.06	0.00311	96157	96008
47	38.34	0.00133	97745	97679	32.16	0.00342	95858	95694
48	37.39	0.00143	97614	97545	31.27	0.00376	95530	95350
49	36.44	0.00152	97475	97401	30.39	0.00412	95171	94975
50	35.49	0.00163	97327	97247	29.51	0.00446	94779	94567
51	34.55	0.00173	97168	97084	28.64	0.00479	94356	94130
52	33.61	0.00185	97000	96910	27.78	0.00518	93904	93661
53	32.67	0.00196	96821	96726	26.92	0.00561	93417	93156
54	31.74	0.00206	96631	96532	26.07	0.00604	92894	92613
55	30.8	0.00217	96432	96328	25.23	0.00648	92332	92033
56	29.87	0.00231	96223	96112	24.39	0.00696	91734	91414
57	28.93	0.00248	96001	95882	23.55	0.00752	91095	90752
58	28	0.00271	95763	95633	22.73	0.00818	90410	90040
59	27.08	0.00296	95504	95362	21.91	0.00888	89670	89272
60	26.16	0.00327	95221	95065	21.1	0.00958	88874	88448
61	25.24	0.0036	94909	94738	20.3	0.01023	88023	87573
62	24.33	0.00397	94567	94379	19.51	0.01093	87122	86646
63	23.43	0.00436	94192	93987	18.72	0.01172	86170	85665
64	22.53	0.00479	93781	93557	17.93	0.01267	85160	84621
65	21.63	0.00536	93332	93082	17.16	0.01391	84081	83497
66	20.75	0.00609	92831	92549	16.39	0.01545	82912	82271
67	19.87	0.00696	92266	91945	15.64	0.01723	81631	80928
68	19.01	0.0079	91625	91263	14.91	0.01923	80224	79453
69	18.15	0.00887	90901	90498	14.19	0.02136	78682	77841
70	17.31	0.00992	90095	89648	13.49	0.02376	77001	76086
71	16.48	0.01118	89201	88702	12.8	0.02644	75171	74177
72	15.66	0.01273	88204	87642	12.14	0.02958	73183	72101
73	14.86	0.01465	87081	86443	11.49	0.03305	71019	69845
74	14.07	0.01691	85806	85080	10.87	0.03671	68672	67411
75	13.3	0.01959	84355	83529	10.26	0.04067	66151	64806
76	12.56	0.02258	82702	81769	9.68	0.0452	63460	62026
77	11.84	0.02604	80835	79783	9.11	0.05048	60592	59063
78	11.14	0.03006	78730	77547	8.57	0.05661	57533	55905
79	10.47	0.03457	76363	75043	8.06	0.06333	54276	52558
80	9.83	0.03951	73724	72267	7.57	0.07048	50839	49048
81	9.21	0.04511	70811	69213	7.1	0.07798	47256	45413
82	8.62	0.05166	67616	65870	6.66	0.0865	43571	41686
83	8.07	0.05887	64123	62236	6.24	0.0959	39802	37893
84	7.54	0.06675	60348	58334	5.85	0.10621	35985	34074
85	7.04	0.07533	56320	54199	5.49	0.1168	32163	30285
86	6.57	0.08468	52078	49873	5.15	0.12803	28406	26588
87	6.14	0.0948	47668	45408	4.83	0.13989	24770	23037
88	5.73	0.10572	43149	40868	4.54	0.15234	21305	19682
89	5.34	0.11742	38587	36322	4.26	0.16537	18059	16566
90	4.99	0.12989	34056	31844	4.01	0.17893	15073	13724
91	4.66	0.14312	29632	27512	3.77	0.19297	12376	11182
92	4.35	0.15706	25392	23398	3.55	0.20744	9988	8952
93	4.07	0.17167	21403	19566	3.35	0.22226	7916	7036
94	3.81	0.1869	17729	16072	3.17	0.23738	6156	5426
95	3.57	0.20265	14416	12955	3	0.25269	4695	4102
96	3.36	0.21886	11494	10236	2.84	0.26812	3509	3038
97	3.16	0.23543	8979	7922	2.7	0.28357	2568	2204
98	2.97	0.25223	6865	5999	2.57	0.29894	1840	1565
99	2.81	0.26916	5133	4442	2.45	0.31412	1290	1087
100	2.66	1	3752	9967	2.34	1	885	2072
